Date,Open
1,48.66
2,48.389999
3,48.240002
4,48.580002
5,49.439999
6,49.73
7,48.709999
8,48.540001
9,48.75
10,48.540001
11,49.130001
12,50
13,51.189999
14,51.470001
15,51.880001
16,51.669998
17,51.689999
18,51.75
19,51.560001
20,51.400002
21,51.200001
22,50.990002
