x,y
0.5,0.25
0.55,0.289473684
0.6,0.333333333
0.65,0.382352941
0.7,0.4375
0.75,0.5
0.8,0.571428571
0.85,0.653846154
0.9,0.75
0.95,0.863636364
1,1
