Month,Total,"Men, 20 years and over","Women, 20 years and over",16 to 19 years old,White,Black or African American,Asian,Hispanic or Latino
2006-01-01,4.7,4.1,4.3,15.1,4.1,8.9,3,5.5
2006-02-01,4.8,4.2,4.3,15.3,4.1,9.5,3,5.4
2006-03-01,4.7,4.1,4.2,16.1,4,9.5,3.5,5.2
2006-04-01,4.7,4.2,4.3,14.6,4.1,9.4,3.9,5.5
2006-05-01,4.6,4.2,4.1,14,4.1,8.7,3.3,5
2006-06-01,4.6,4,4.1,15.8,4.1,8.9,3.1,5.2
2006-07-01,4.7,4.1,4.2,15.9,4.1,9.5,2.4,5.2
2006-08-01,4.7,4.1,4.1,16,4.1,8.8,3,5.3
2006-09-01,4.5,3.7,4.2,16.3,3.9,9,3,5.5
2006-10-01,4.4,3.9,3.9,15.2,3.9,8.4,2.8,4.8
2006-11-01,4.5,4,4,14.8,4,8.5,3.1,5.1
2006-12-01,4.4,3.9,3.9,14.6,3.9,8.3,2.5,5
2007-01-01,4.6,4.2,4,14.8,4.2,7.9,3.1,5.5
2007-02-01,4.5,4.2,3.8,14.9,4.1,8,2.6,5.1
2007-03-01,4.4,4,3.8,14.9,3.8,8.4,3,5
2007-04-01,4.5,4,3.9,15.9,4,8.3,3.5,5.6
2007-05-01,4.4,4,3.8,15.9,3.9,8.3,3.2,5.8
2007-06-01,4.6,4,3.9,16.3,4.1,8.5,2.7,5.5
2007-07-01,4.7,4.2,4.2,15.3,4.2,8.1,2.7,5.9
2007-08-01,4.6,4.1,4.1,15.9,4.2,7.6,3.5,5.5
2007-09-01,4.7,4.2,4.1,15.9,4.2,8,3.4,5.9
2007-10-01,4.7,4.3,4.1,15.4,4.1,8.5,3.8,5.7
2007-11-01,4.7,4.2,4.2,16.2,4.2,8.5,3.6,5.9
2007-12-01,5,4.4,4.4,16.8,4.4,9,3.7,6.3
2008-01-01,5,4.5,4.3,17.8,4.4,9.1,3.1,6.3
2008-02-01,4.9,4.4,4.2,16.6,4.4,8.4,2.9,6.2
2008-03-01,5.1,4.6,4.5,16.1,4.5,9.2,3.6,6.9
2008-04-01,5,4.6,4.2,15.9,4.4,8.6,3.5,7.1
2008-05-01,5.4,4.9,4.6,19,4.8,9.6,4.1,6.9
2008-06-01,5.6,5.1,4.7,19.2,5,9.4,4.2,7.6
2008-07-01,5.8,5.4,4.7,20.7,5.2,10,3.7,7.5
2008-08-01,6.1,5.7,5.4,18.6,5.4,10.6,4.5,8
2008-09-01,6.1,6.1,5,19.1,5.4,11.3,4,8
2008-10-01,6.5,6.3,5.4,20,5.9,11.4,3.9,8.8
2008-11-01,6.8,6.7,5.7,20.3,6.2,11.5,4.8,8.7
2008-12-01,7.3,7.4,5.9,20.5,6.7,12.1,5.1,9.4
2009-01-01,7.8,7.9,6.5,20.7,7.1,12.7,6.1,10.1
2009-02-01,8.3,8.5,6.8,22.3,7.6,13.7,6.7,11.3
2009-03-01,8.7,9,7.1,22.2,8,13.7,6.5,11.7
2009-04-01,9,9.5,7.1,22.2,8.1,15,6.8,11.4
2009-05-01,9.4,9.8,7.5,23.4,8.5,15,7,12.3
2009-06-01,9.5,9.9,7.6,24.7,8.7,14.8,7.9,12.1
2009-07-01,9.5,9.8,7.7,24.3,8.7,14.8,8.1,12.5
2009-08-01,9.6,10,7.7,25,8.9,14.8,7.6,13
2009-09-01,9.8,10.1,7.9,25.9,8.9,15.3,7.6,12.6
2009-10-01,10,10.4,8,27.2,9.2,15.8,7.6,12.8
2009-11-01,9.9,10.3,7.9,26.9,9.2,15.7,7.2,12.4
2009-12-01,9.9,10.1,8,26.7,9,16.1,8.4,12.8
2010-01-01,9.8,10.2,7.9,26.1,8.8,16.5,8.3,12.9
2010-02-01,9.8,10.3,8,25.6,8.9,16.1,8.2,12.7
2010-03-01,9.9,10.2,8.1,26.2,8.9,16.8,7.6,12.9
2010-04-01,9.9,10.2,8.3,25.4,9,16.6,7,12.5
2010-05-01,9.6,9.7,8.1,26.5,8.7,15.5,7.8,12
2010-06-01,9.4,9.7,7.7,25.9,8.6,15.2,7.4,12.3
2010-07-01,9.4,9.6,7.9,25.9,8.5,15.6,7.9,12.2
2010-08-01,9.5,9.6,8,25.5,8.6,15.9,7.3,12
2010-09-01,9.5,9.6,8,25.8,8.6,16,6.6,12.3
2010-10-01,9.4,9.4,8,27.2,8.6,15.6,7.2,12.3
2010-11-01,9.8,9.9,8.4,24.8,8.9,16.2,7.5,12.9
2010-12-01,9.3,9.4,8,25.3,8.5,15.5,7.2,12.9
2011-01-01,9.1,9,7.9,25.7,8.1,15.8,6.8,12.3
2011-02-01,9,8.9,7.9,24.1,8.1,15.5,6.7,11.8
2011-03-01,9,8.8,7.8,24.4,8,15.8,7.3,11.6
2011-04-01,9.1,8.9,8,24.7,8.1,16.5,6.5,11.9
